"This data table captures Program Reach Index data. It provides data on CalFresh eligible individuals, the estimate frequency, and the PRI percentage. The table begins in cell A2. ",,,,,,,,,
County,FIPS,County Center X,County Center Y,Consortium,Calendar Year,CalFresh Eligibles CY,PRI Estimate Frequency,5 Year Estimate,PRI
Yolo,US-06113,-121.9008022,38.619495,CalWIN,2015.0,40868.0969332,Annual Est.,,0.507414949
Yuba,US-06115,-121.499162,39.278915,C-IV,2015.0,18760.6912254,Annual Est.,,0.724426933
Statewide,,,,,2016.0,6034577.90494,Annual Est.,,0.718
Alameda,US-06001,-121.7871814,37.680185,CalWIN,2016.0,175986.23878,Annual Est.,,0.65972914
Alpine,US-06003,-120.0354892,38.6301005,C-IV,2016.0,227.33154,5-yr. Est.,2012-2016,0.662028683
Amador,US-06005,-120.238969,38.46328,C-IV,2016.0,4449.9307,5-yr. Est.,2012-2016,0.749562235
Butte,US-06007,-121.5660076,39.723785,C-IV,2016.0,50672.63662,Annual Est.,,0.632782348
Calaveras,US-06009,-120.6039732,38.1711345,C-IV,2016.0,6587.95782,5-yr. Est.,2012-2016,0.787320362
Colusa,US-06011,-122.4386143,39.169245,C-IV,2016.0,3454.21034,5-yr. Est.,2012-2016,0.413312024
Contra Costa,US-06013,-121.717604,37.888418,CalWIN,2016.0,107992.29498,Annual Est.,,0.629087319
Del Norte,US-06015,-123.719458,41.6908155,C-IV,2016.0,5486.2428,5-yr. Est.,2012-2016,0.969257747
El Dorado,US-06017,-120.4259625,38.78496,C-IV,2016.0,19417.21598,Annual Est.,,0.657805424
Fresno,US-06019,-120.862059,36.74633,CalWIN,2016.0,253718.35286,Annual Est.,,0.868380224
Glenn,US-06021,-122.1147288,39.591764,C-IV,2016.0,5744.98034,5-yr. Est.,2012-2016,0.629302995
Humboldt,US-06023,-123.959972,40.73356,C-IV,2016.0,33392.65972,Annual Est.,,0.635354202
Imperial,US-06025,-115.058652,33.02615,C-IV,2016.0,47395.6744,Annual Est.,,0.903289183
Inyo,US-06027,-117.7797286,36.626,C-IV,2016.0,2229.92596,5-yr. Est.,2012-2016,0.917780846
Kern,US-06029,-118.4426011,35.29441,C-IV,2016.0,215670.0795,Annual Est.,,0.761531999
Kings,US-06031,-119.6135104,36.138775,C-IV,2016.0,27457.41268,Annual Est.,,0.897966375
Lake,US-06033,-122.9624445,39.124455,C-IV,2016.0,11882.11388,Annual Est.,,1.0
Lassen,US-06035,-120.2636913,40.446085,C-IV,2016.0,3801.25838,5-yr. Est.,2012-2016,0.828497571
Los Angeles,US-06037,-117.9879672,34.26394,LRS,2016.0,1722921.69686,Annual Est.,,0.649077138
Madera,US-06039,-119.84174,37.27052,C-IV,2016.0,31945.83926,Annual Est.,,0.915779144
Marin,US-06041,-122.870429,38.068145,C-IV,2016.0,20564.16802,Annual Est.,,0.501073841
Mariposa,US-06043,-119.6495595,37.543615,C-IV,2016.0,3175.55774,5-yr. Est.,2012-2016,0.633956877
Mendocino,US-06045,-123.5709822,39.380655,C-IV,2016.0,19475.31268,Annual Est.,,0.649240753
Merced,US-06047,-120.1246993,37.18687,C-IV,2016.0,59925.13282,Annual Est.,,0.94550896
Modoc,US-06049,-120.1993372,41.590546,C-IV,2016.0,1611.51298,5-yr. Est.,2012-2016,0.673176913
Mono,US-06051,-118.7402371,38.0878955,C-IV,2016.0,1182.79732,5-yr. Est.,2012-2016,0.671360444
Monterey,US-06053,-120.9044897,36.35433,C-IV,2016.0,60652.21106,Annual Est.,,0.829751284
Napa,US-06055,-122.5128064,38.509635,C-IV,2016.0,10434.59964,5-yr. Est.,2012-2016,0.432
Nevada,US-06057,-120.3163119,39.266135,C-IV,2016.0,11844.33222,5-yr. Est.,2012-2016,0.487
Orange,US-06059,-117.8002615,33.66707,CalWIN,2016.0,357201.12008,Annual Est.,,0.708690854
Placer,US-06061,-120.7858989,39.013999,CalWIN,2016.0,34761.37662,Annual Est.,,0.507045032
Plumas,US-06063,-121.1037321,40.0234855,C-IV,2016.0,2866.99332,5-yr. Est.,2012-2016,0.743694327
Riverside,US-06065,-115.0250859,33.752845,C-IV,2016.0,421674.33782,Annual Est.,,0.682144309
Sacramento,US-06067,-121.1505311,38.383079,CalWIN,2016.0,270638.7534,Annual Est.,,0.790933784
San Benito,US-06069,-121.2131455,36.5928495,C-IV,2016.0,7743.2247,5-yr. Est.,2012-2016,0.72577428
San Bernardino,US-06071,-116.6760973,34.840011,C-IV,2016.0,403621.80548,Annual Est.,,0.967712624
San Diego,US-06073,-116.693716,33.019645,CalWIN,2016.0,468815.2649,Annual Est.,,0.611087539
San Francisco,US-06075,-122.4847727,37.759845,CalWIN,2016.0,80562.66374,Annual Est.,,0.65602763
San Joaquin,US-06077,-120.9449271,37.889845,C-IV,2016.0,125684.21928,Annual Est.,,0.924568473
San Luis Obispo,US-06079,-120.1080592,35.34633,CalWIN,2016.0,35022.46786,Annual Est.,,0.517974635
San Mateo,US-06081,-122.2406398,37.407705,CalWIN,2016.0,53230.80128,Annual Est.,,0.552476185
Santa Barbara,US-06083,-120.0351675,34.743715,CalWIN,2016.0,64123.56218,Annual Est.,,0.602745159
Santa Clara,US-06085,-121.6161794,37.18939,CalWIN,2016.0,180133.01454,Annual Est.,,0.575226777
Santa Cruz,US-06087,-122.0401593,37.06834,CalWIN,2016.0,38408.247,Annual Est.,,0.695937776
Shasta,US-06089,-122.0883555,40.735175,C-IV,2016.0,34951.27258,Annual Est.,,0.698324597
Sierra,US-06091,-120.0617973,39.58418,C-IV,2016.0,439.9497,5-yr. Est.,2012-2016,0.630375094
Siskiyou,US-06093,-122.5559892,41.5008525,C-IV,2016.0,10625.20346,5-yr. Est.,2012-2016,0.637477989
Solano,US-06095,-121.6688337,38.2894915,CalWIN,2016.0,58480.9245,Annual Est.,,0.724213357
Sonoma,US-06097,-122.7518161,38.481733,CalWIN,2016.0,51364.9346,Annual Est.,,0.654660297
Stanislaus,US-06099,-120.8981857,37.606095,C-IV,2016.0,93759.11094,Annual Est.,,0.938736326
Sutter,US-06101,-121.714735,39.02038,C-IV,2016.0,19005.51096,Annual Est.,,0.690786479
Tehama,US-06103,-122.6595518,40.125305,C-IV,2016.0,14987.8581,5-yr. Est.,2012-2016,0.662575217
Trinity,US-06105,-123.5069171,40.672495,C-IV,2016.0,3189.39112,5-yr. Est.,2012-2016,0.551019489
Tulare,US-06107,-119.0889841,36.266965,CalWIN,2016.0,115553.38148,Annual Est.,,1.0
Tuolumne,US-06109,-120.0954221,38.03354,C-IV,2016.0,8881.70494,5-yr. Est.,2012-2016,0.613827342
Ventura,US-06111,-119.0838699,34.47326,CalWIN,2016.0,90705.1975,Annual Est.,,0.826970252
Yolo,US-06113,-121.9008022,38.619495,CalWIN,2016.0,46097.32226,Annual Est.,,0.452146654
Yuba,US-06115,-121.499162,39.278915,C-IV,2016.0,14544.35772,Annual Est.,,0.916621203
Statewide,,,,,2017.0,5704884.0,Annual Est.,,0.722
Alameda,US-06001,-121.7871814,37.680185,CalWIN,2017.0,159075.954931,Annual Est.,,0.681
Alpine,US-06003,-120.0354892,38.6301005,C-IV,2017.0,237.0,5-yr. Est.,2013-2017,0.594
Amador,US-06005,-120.238969,38.46328,C-IV,2017.0,4385.0,5-yr. Est.,2013-2017,0.693
Butte,US-06007,-121.5660076,39.723785,C-IV,2017.0,45852.247799,Annual Est.,,0.675
Calaveras,US-06009,-120.6039732,38.1711345,C-IV,2017.0,6614.0,5-yr. Est.,2013-2017,0.761
Colusa,US-06011,-122.4386143,39.169245,C-IV,2017.0,3802.0,5-yr. Est.,2013-2017,0.408
Contra Costa,US-06013,-121.717604,37.888418,CalWIN,2017.0,120381.127229,Annual Est.,,0.523
Del Norte,US-06015,-123.719458,41.6908155,C-IV,2017.0,5983.0,5-yr. Est.,2013-2017,0.878
El Dorado,US-06017,-120.4259625,38.78496,C-IV,2017.0,18378.1769707,Annual Est.,,0.654
Fresno,US-06019,-120.862059,36.74633,CalWIN,2017.0,220688.294916,Annual Est.,,0.973
Glenn,US-06021,-122.1147288,39.591764,C-IV,2017.0,5919.0,5-yr. Est.,2013-2017,0.568
Humboldt,US-06023,-123.959972,40.73356,C-IV,2017.0,32122.9322793,Annual Est.,,0.635496156532
