"This data table captures quarterly churn data on the percentage of reapplications in 30 days, 90 days, and the percentage of scheduled recertifications for 30 days, and 90 days. The data table begins in cell A2. ",,,,,,,,,,
County,FIPS,County Center X,County Center Y,Consortium,Calendar Year,Quarter,30 Day Churn Pct of Reapplications,90 Day Churn Pct of Reapplications,30 Day Percentage of Scheduled Recertifications,90 Day Percentage of Scheduled Recertifications
Imperial,US-06025,-115.058652,33.02615,C-IV,2014.0,Q3,0.1308,0.2034,0.235659986,0.263073025
Inyo,US-06027,-117.7797286,36.626,C-IV,2014.0,Q3,0.101,0.1886,0.239057239,0.249158249
Kern,US-06029,-118.4426011,35.29441,C-IV,2014.0,Q3,0.1772,0.2648,0.201767219,0.235180525
Kings,US-06031,-119.6135104,36.138775,C-IV,2014.0,Q3,0.1836,0.266,0.327359618,0.367582636
Lake,US-06033,-122.9624445,39.124455,C-IV,2014.0,Q3,0.0657,0.1366,0.3082542,0.344046749
Lassen,US-06035,-120.2636913,40.446085,C-IV,2014.0,Q3,0.1202,0.2017,0.201716738,0.223175966
Los Angeles,US-06037,-117.9879672,34.26394,LRS,2014.0,Q3,0.0905,0.1568,0.00579373,0.00752876
Madera,US-06039,-119.84174,37.27052,C-IV,2014.0,Q3,0.1252,0.2179,0.239359461,0.287399916
Marin,US-06041,-122.870429,38.068145,C-IV,2014.0,Q3,0.1392,0.2075,0.210695876,0.243556701
Mariposa,US-06043,-119.6495595,37.543615,C-IV,2014.0,Q3,0.1429,0.2046,0.189189189,0.231660232
Mendocino,US-06045,-123.5709822,39.380655,C-IV,2014.0,Q3,0.1367,0.2323,0.218062983,0.276292335
Merced,US-06047,-120.1246993,37.18687,C-IV,2014.0,Q3,0.1425,0.219,0.300822337,0.342130426
Modoc,US-06049,-120.1993372,41.590546,C-IV,2014.0,Q3,0.1275,0.1678,0.228187919,0.241610738
Mono,US-06051,-118.7402371,38.0878955,C-IV,2014.0,Q3,0.0588,0.1569,0.156862745,0.176470588
Monterey,US-06053,-120.9044897,36.35433,C-IV,2014.0,Q3,0.2079,0.2992,0.212976721,0.25326069
Napa,US-06055,-122.5128064,38.509635,C-IV,2014.0,Q3,0.0932,0.1658,0.224730128,0.258096173
Nevada,US-06057,-120.3163119,39.266135,C-IV,2014.0,Q3,0.1081,0.1889,0.222978723,0.255319149
Orange,US-06059,-117.8002615,33.66707,CalWIN,2014.0,Q3,0.1107,0.1896,0.071850431,0.11951247
Placer,US-06061,-120.7858989,39.013999,CalWIN,2014.0,Q3,0.0975,0.1653,0.069878085,0.110912875
Plumas,US-06063,-121.1037321,40.0234855,C-IV,2014.0,Q3,0.0916,0.1466,0.240837696,0.251308901
Riverside,US-06065,-115.0250859,33.752845,C-IV,2014.0,Q3,0.1555,0.2303,0.223582233,0.250227163
Sacramento,US-06067,-121.1505311,38.383079,CalWIN,2014.0,Q3,0.1045,0.1753,0.062818782,0.101335134
San Benito,US-06069,-121.2131455,36.5928495,C-IV,2014.0,Q3,0.1247,0.187,0.318302387,0.358090186
San Bernardino,US-06071,-116.6760973,34.840011,C-IV,2014.0,Q3,0.1938,0.2659,0.284231967,0.310328301
San Diego,US-06073,-116.693716,33.019645,CalWIN,2014.0,Q3,0.14,0.2239,0.07166177,0.116039364
San Francisco,US-06075,-122.4847727,37.759845,CalWIN,2014.0,Q3,0.1378,0.2208,0.098430813,0.137541607
San Joaquin,US-06077,-120.9449271,37.889845,C-IV,2014.0,Q3,0.1341,0.2011,0.255540601,0.287303724
San Luis Obispo,US-06079,-120.1080592,35.34633,CalWIN,2014.0,Q3,0.0727,0.1575,0.0489535,0.094004966
San Mateo,US-06081,-122.2406398,37.407705,CalWIN,2014.0,Q3,0.1127,0.1988,0.075379939,0.116919959
Santa Barbara,US-06083,-120.0351675,34.743715,CalWIN,2014.0,Q3,0.0865,0.1615,0.0582112,0.116847249
Santa Clara,US-06085,-121.6161794,37.18939,CalWIN,2014.0,Q3,0.0374,0.1156,0.0161997,0.0624019
Santa Cruz,US-06087,-122.0401593,37.06834,CalWIN,2014.0,Q3,0.0444,0.117,0.0183175,0.074287653
Shasta,US-06089,-122.0883555,40.735175,C-IV,2014.0,Q3,0.1356,0.2141,0.22023968,0.244740346
Sierra,US-06091,-120.0617973,39.58418,C-IV,2014.0,Q3,0.0526,0.1842,0.131578947,0.157894737
Siskiyou,US-06093,-122.5559892,41.5008525,C-IV,2014.0,Q3,0.143,0.2156,0.266808965,0.295624333
Solano,US-06095,-121.6688337,38.2894915,CalWIN,2014.0,Q3,0.0236,0.1088,0.00721501,0.063131313
Sonoma,US-06097,-122.7518161,38.481733,CalWIN,2014.0,Q3,0.0994,0.1811,0.0606996,0.109465021
Stanislaus,US-06099,-120.8981857,37.606095,C-IV,2014.0,Q3,0.1764,0.2633,0.281667456,0.327806727
Sutter,US-06101,-121.714735,39.02038,C-IV,2014.0,Q3,0.1841,0.2442,0.25990676,0.282634033
Tehama,US-06103,-122.6595518,40.125305,C-IV,2014.0,Q3,0.1125,0.1699,0.24359969,0.272304112
Trinity,US-06105,-123.5069171,40.672495,C-IV,2014.0,Q3,0.1204,0.1752,0.142335766,0.175182482
Tulare,US-06107,-119.0889841,36.266965,CalWIN,2014.0,Q3,0.2114,0.3262,0.138521782,0.201076848
Tuolumne,US-06109,-120.0954221,38.03354,C-IV,2014.0,Q3,0.1345,0.2139,0.248166259,0.277506112
Ventura,US-06111,-119.0838699,34.47326,CalWIN,2014.0,Q3,0.1378,0.2472,0.094953454,0.156393925
