,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
The Sort & Filter Function allows for filtering data ,,,,,,,,,,,,,
Data Sources:,,,,,,DFA 256,DFA 256,MEDS,CF 296,"DFA 296X prior to July 2016, then CF 296 ",Federal SNAPQCS,Federal SNAPQCS,RADEP
,,,,,,,,,,,,,
County,Consortium,Month,Calendar_Year,FFY,SFY,CF_HHs,CF_Persons,MC_Enrollment,Timeliness_30_day_Pct,Timeliness_Exped_Pct_Monthly,Negative_Error_Completed_Cases,Negative_Error_Rate,Active_Error_Rate
36 San Bernardino,C-IV,March,2012.0,2012.0,2011/12,145485.0,350676.0,,0.9998,,,,0.0141
37 San Diego,CalWIN,March,2012.0,2012.0,2011/12,109545.0,243548.0,,0.9881,,,,0.0772
38 San Francisco,CalWIN,March,2012.0,2012.0,2011/12,33028.0,51179.0,,0.9862,,,,0.0285
39 San Joaquin,C-IV,March,2012.0,2012.0,2011/12,42840.0,106305.0,,0.9833,,,,0.0267
40 San Luis Obispo,CalWIN,March,2012.0,2012.0,2011/12,9099.0,17814.0,,0.9827,,,,0.0448
41 San Mateo,CalWIN,March,2012.0,2012.0,2011/12,13060.0,27174.0,,0.9554,,,,0.0448
42 Santa Barbara,CalWIN,March,2012.0,2012.0,2011/12,14611.0,33064.0,,0.7405,,,,0.0448
43 Santa Clara,CalWIN,March,2012.0,2012.0,2011/12,47827.0,103592.0,,0.7899,,,,0.0033
44 Santa Cruz,CalWIN,March,2012.0,2012.0,2011/12,10611.0,21688.0,,0.9054,,,,0.0448
45 Shasta,C-IV,March,2012.0,2012.0,2011/12,12278.0,24810.0,,0.9689,,,,0.0448
46 Sierra,C-IV,March,2012.0,2012.0,2011/12,134.0,268.0,,1.0,,,,0.0448
47 Siskiyou,C-IV,March,2012.0,2012.0,2011/12,2679.0,6113.0,,1.0,,,,0.0448
48 Solano,CalWIN,March,2012.0,2012.0,2011/12,19346.0,39315.0,,0.9447,,,,0.0112
49 Sonoma,CalWIN,March,2012.0,2012.0,2011/12,17351.0,32706.0,,0.8673,,,,0.0448
50 Stanislaus,C-IV,March,2012.0,2012.0,2011/12,38739.0,87014.0,,1.0,,,,0.0358
51 Sutter,C-IV,March,2012.0,2012.0,2011/12,4947.0,12018.0,,0.911,,,,0.0448
52 Tehama,C-IV,March,2012.0,2012.0,2011/12,4055.0,9563.0,,0.8364,,,,0.0448
53 Trinity,C-IV,March,2012.0,2012.0,2011/12,737.0,1516.0,,1.0,,,,0.0448
54 Tulare,CalWIN,March,2012.0,2012.0,2011/12,44388.0,110084.0,,1.0,,,,0.0162
55 Tuolumne,C-IV,March,2012.0,2012.0,2011/12,2755.0,5205.0,,0.9749,,,,0.0448
56 Ventura,CalWIN,March,2012.0,2012.0,2011/12,31179.0,64972.0,,0.9947,,,,0.0158
57 Yolo,CalWIN,March,2012.0,2012.0,2011/12,7616.0,16787.0,,0.9368,,,,0.0448
58 Yuba,C-IV,March,2012.0,2012.0,2011/12,5682.0,12804.0,,1.0,,,,0.0448
00 National Avg*,n/a,April,2012.0,2012.0,2011/12,,,,,,,0.254,0.054
00 Statewide,n/a,April,2012.0,2012.0,2011/12,1792764.0,3996483.0,,0.9755,,,,0.0416
01 Alameda,CalWIN,April,2012.0,2012.0,2011/12,60757.0,123210.0,,0.9154,,,,0.0107
