"Monthly data on CalFresh public assistance households and persons, non-assistance households and persons, CFAP public assistance household and persons, non-assistance household and persons, federal and state issuances, 30 day timeliness, negative error rate, negative error rate cases completed, applications received, and child only households and persons. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note:  The presence of an asterisk (*) in a data cell indicates that the value has been suppressed to protect individual confidentiality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Sources:,,,,,,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,DFA 256,CF 296,"DFA 296X prior to July 2016, then CF 296 ",Federal SNAPQCS,RADEP,CF 296,CF 296,MEDS,MEDS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County,Consortium,Month,Calendar_Year,FFY,SFY,Fed_PA_HHs,Fed_NA_HHs,CFAP_PA_HHs,CFAP_NA_HHs,All_PA_HHs,All_NA_HHs,CF_HHs,CF_Persons,Fed_PA_Persons,Fed_ NA_Persons,All_Fed_Persons,CFAP_PA_Persons,CFAP_NA_Persons,All_CFAP_Persons,All_PA_Persons,All_NA_Persons,Fed_Issuances,State_Issuances,Total_Issuances,Timeliness_30_day_Pct,Timeliness_Exped_Pct_Monthly,Negative_Error_Rate,Active_Error_Rate,Apps_Recd,Online_Apps_Recd,Child_Only_HHs,Child_Only_Persons
24 Merced,C-IV,February,2014.0,2014.0,2013/14,,,,,,,23498.0,56298.0,,,,,,,,,,,,0.9497,,,0.0046,,,4076.0,9142.0
25 Modoc,C-IV,February,2014.0,2014.0,2013/14,,,,,,,430.0,961.0,,,,,,,,,,,,1.0,,,0.0804,,,*,64.0
26 Mono,C-IV,February,2014.0,2014.0,2013/14,,,,,,,580.0,893.0,,,,,,,,,,,,0.9043,,,0.0804,,,84.0,167.0
27 Monterey,C-IV,February,2014.0,2014.0,2013/14,,,,,,,22918.0,52512.0,,,,,,,,,,,,1.0,,,0.0677,,,8129.0,17278.0
28 Napa,C-IV,February,2014.0,2014.0,2013/14,,,,,,,3485.0,7304.0,,,,,,,,,,,,0.7477,,,0.0804,,,894.0,1836.0
29 Nevada,C-IV,February,2014.0,2014.0,2013/14,,,,,,,4021.0,7617.0,,,,,,,,,,,,0.996,,,0.0804,,,183.0,354.0
30 Orange,CalWIN,February,2014.0,2014.0,2013/14,,,,,,,113264.0,246178.0,,,,,,,,,,,,0.9758,,,0.0318,,,30166.0,65044.0
31 Placer,CalWIN,February,2014.0,2014.0,2013/14,,,,,,,8948.0,18451.0,,,,,,,,,,,,0.9791,,,0.0804,,,738.0,1461.0
32 Plumas,C-IV,February,2014.0,2014.0,2013/14,,,,,,,914.0,1843.0,,,,,,,,,,,,1.0,,,0.0804,,,34.0,*
33 Riverside,C-IV,February,2014.0,2014.0,2013/14,,,,,,,120536.0,285469.0,,,,,,,,,,,,0.9956,,,0.0314,,,16884.0,37059.0
34 Sacramento,CalWIN,February,2014.0,2014.0,2013/14,,,,,,,97394.0,213854.0,,,,,,,,,,,,0.9707,,,0.0048,,,10345.0,20165.0
35 San Benito,C-IV,February,2014.0,2014.0,2013/14,,,,,,,2724.0,6328.0,,,,,,,,,,,,1.0,,,0.0804,,,485.0,1055.0
36 San Bernardino,C-IV,February,2014.0,2014.0,2013/14,,,,,,,166723.0,383499.0,,,,,,,,,,,,0.997,,,0.0081,,,21035.0,44951.0
37 San Diego,CalWIN,February,2014.0,2014.0,2013/14,,,,,,,128735.0,273754.0,,,,,,,,,,,,0.9248,,,0.0621,,,16678.0,34125.0
38 San Francisco,CalWIN,February,2014.0,2014.0,2013/14,,,,,,,32015.0,50326.0,,,,,,,,,,,,0.9644,,,0.0433,,,4314.0,6852.0
39 San Joaquin,C-IV,February,2014.0,2014.0,2013/14,,,,,,,48366.0,115203.0,,,,,,,,,,,,0.9739,,,0.0478,,,7087.0,15152.0
40 San Luis Obispo,CalWIN,February,2014.0,2014.0,2013/14,,,,,,,9432.0,18163.0,,,,,,,,,,,,0.9812,,,0.0804,,,1212.0,2416.0
41 San Mateo,CalWIN,February,2014.0,2014.0,2013/14,,,,,,,15804.0,32099.0,,,,,,,,,,,,0.9844,,,0.0804,,,4159.0,8091.0
42 Santa Barbara,CalWIN,February,2014.0,2014.0,2013/14,,,,,,,15874.0,35522.0,,,,,,,,,,,,0.7078,,,0.0804,,,5010.0,10918.0
43 Santa Clara,CalWIN,February,2014.0,2014.0,2013/14,,,,,,,53565.0,111956.0,,,,,,,,,,,,0.9013,,,0.0334,,,11424.0,22899.0
44 Santa Cruz,CalWIN,February,2014.0,2014.0,2013/14,,,,,,,12385.0,24353.0,,,,,,,,,,,,0.734,,,0.0804,,,2675.0,5449.0
45 Shasta,C-IV,February,2014.0,2014.0,2013/14,,,,,,,12036.0,23950.0,,,,,,,,,,,,0.9552,,,0.0804,,,659.0,1091.0
46 Sierra,C-IV,February,2014.0,2014.0,2013/14,,,,,,,166.0,290.0,,,,,,,,,,,,1.0,,,0.0804,,,*,*
